Room 1,Room 2
Room 4,Room 2
Room 6,Room 4
Room 5,Room 4
Room 5,Room 11
Shop,Central Hall
Room 6,Room 7
Room 7,Room 8
Room 8,Room 9
Room 9,Room 10
Room 9,Room 16
Room 9,Room 15
Room 16,Room 17
Room 17,Room 17A
Room 17A,Room 19
Room 19,Room 20
Room 20,Room 21
Room 21,Room 18
Room 19,Room 18
Room 18,Room 22
Room 18,Room 24
Room 22,Room 23
Room 23,Room 24
Room 24,Room 25
Room 25,Room 28
Room 28,Room 29
Room 28,Room 27
Room 27,Room 26
Room 26,Room 18
Room 26,Room 15
Room 15,Room 17
Room 15,Room 16
Room 15,Room 29
Room 29,Room 14
Room 14,Room 11
Room 29,Room 30
Room 30,Room 31
Room 30,Room 32
Room 30,Sunley Room
Sunley Room,Central Hall
Room 32,Room 33
Room 32,Room 37
Room 37,Room 36
Room 33,Room 34
Room 44,Room 43
Room 34,Room 35
Room 35,Room 36
Room 34,Room 41
Room 41,Room 42
Room 42,Room 43
Room 43,Room 44
Room 44,Room 40
Room 40,Room 36
Room 44,Room 45
Room 36,Room 38
Room 38,Room 39
Room 39,Central Hall
Central Hall,Room 12
Room 12,Room 11
Room 11,Room 10
Room 45,Room 46
Room 9,Room 51
Room 51,Room 52
Room 52,Room 53
Room 53,Room 59
Room 53,Room 54
Room 55,Room 56
Room 55,Room 57
Room 57,Room 65
Room 57,Room 58
Room 58,Room 59
Room 59,Room 60
Room 59,Room 63
Room 65,Room 66
Room 65,Room 64
Room 64,Room 63
Room 63,Room 62
Room 62,Room 61
Room 61,Room 60
Room 60,Room 51
