Room 1,242,228,Rapael, 1500-1600
Room 2,220,216,Rapael, 1500-1600
Shop,228,189,Shop,present
Room 4,198,214,Rapael, 1500-1600
Room 5,197,186,Rapael, 1500-1600
Room 6,175,215,Rapael, 1500-1600
Room 7,156,228,Rapael, 1500-1600
Room 8,136,208,Rapael, 1500-1600
Room 9,136,164,Venice, 1500-1600
Room 10,172,164,The Sacred and Profane in sixtenth-century Italian art,1500-1600
Room 11,198,164,Veronese's' Four Allegories of Love',1500-1600
Room 12,222,164,Northen Italian Portraiture,1500-1600
Central Hall,263,163,Central Hall,present
Room 14,197,141,The Netherlands,1500-1600
Room 15,145,116,Rembrandt and Van Dyck,1600-1700
Room 16,123,125,"Cranach the elder Huber and Seisenegger",1600-1700
Room 17,123,110,"Altdorfer RottenhammerWertinger",1600-1700
Room 17A,125,99,Paastel in the 18th and 19th centuries,1600-1700
Room 18,145,68,Rubens,1600-1700
Room 19,119,85,Dutch landscapes,1600-1700
Room 20,119,68,A different view of flanders,1600-1700
Room 21,118,50,Van Dyck,1600-1700
Room 22,172,50,Rembrandt,1600-1700
Room 23,172,68,Dutch portraiture,1600-1700
Room 24,172,85,International ambitions,1600-1700
Room 25,198,85,A New Art For A New Nation (2),1600-1700
Room 26,163,99,"Brueghel the Elder van der Heyden van de Velde",1600-1700
Room 27,181,99,"de Hooch Saenredam Vermeer",1600-1700
Room 28,198,99,A New Art For A New Nation (1),1600-1700
Room 29,198,117,French Painting ,1600 - 1700
Room 30,263,116,Spain,1600-1700
Room 31,263,94,Room Closed,null
Room 32,330,112,17th-centrury Italian paintings,1600-1700
Room 33,381,116,"David Fragonard and Vernet",1700-1930
Room 34,381,164,"Constable Turner and Stubbs",1700-1930
Room 35,355,164,Hoharth and British Painting,1700-1930
Room 36,330,164,Claude and Turner,1700-1930
Room 37,329,140,The Grand Tour,1700-1930
Room 38,302,164,Canaletto and Guardi,1700-1930
Room 39,284,164,"Canaletto Pittoni and Tiepolo",1700-1930
Room 40,330,188,18th Century painting in Europe,1700-1930
Room 41,388,208,"Cézanne Monet and Renoir",1700-1930
Room 42,370,229,Room Closed,1700-1930
Room 43,351,223,"Gauguin Seurat Van Gogh",1700-1930
Room 44,329,224,Cézanne Degas Monet,1700-1930
Room 45,308,224,Constable Corot and Ingres,1700-1930
Room 46,282,228,Gainsborough's Blue Boy,1500-1600
Sunley Room,231,140,Room Closed,null
Room 51,55,157,Italy,1250-1350
Room 52,62,179,Siena,1300-1450
Room 53,63,197,Florence and Beyond,1440-1470
Room 54,62,212,Mantegna and Crivelli,1200-1500
Room 55,61,231,Venice and the Veneto,1460-1510
Room 56,58,245,Venice after 1500,1200-1500
Room 57,37,236,Ferrara and Bologna,1200-1500
Room 58,38,213,Botticeli and Filippino Lippi,1200-1500
Room 59,37,188,Florence,1460-1500
Room 60,37,156,Forentine Altarpieces, 1350 - about 1460
Room 61,15,156,Central Italy,1480-1520
Room 62,16,178,Cologne and north-western Germany,1200-1500
Room 63,17,200,15th Century Netherlandish painting,1200-1500
Room 64,16,217,Beyond the Netherlands,1200-1500
Room 65,17,228,Southern Germany and Austria,1200-1500
Room 66,18,241,Leonardo da Vinci at the National Gallery,1200-1500
